locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDDCBLLE_01294	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
IDDCBLLE_01295	CDS	1125	zapE		COG1485	Cell division protein ZapE
IDDCBLLE_01296	CDS	429	rplM		COG0102	50S ribosomal protein L13
IDDCBLLE_01297	CDS	393	rpsI		COG0103	30S ribosomal protein S9
IDDCBLLE_01298	CDS	795				hypothetical protein
IDDCBLLE_01299	CDS	639	sspA		COG0625	Stringent starvation protein A
IDDCBLLE_01300	CDS	501	sspB		COG2969	Stringent starvation protein B
IDDCBLLE_01301	CDS	783	nanR		COG2186	HTH-type transcriptional repressor NanR
IDDCBLLE_01302	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
IDDCBLLE_01303	CDS	1491	nanT_1			Sialic acid transporter NanT
IDDCBLLE_01304	CDS	690	nanE2	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
IDDCBLLE_01305	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
IDDCBLLE_01306	CDS	468	yhcH_2		COG2731	putative protein YhcH
IDDCBLLE_01307	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
IDDCBLLE_01308	CDS	1254	codB		COG1457	Cytosine permease
IDDCBLLE_01309	CDS	1104	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
IDDCBLLE_01310	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
IDDCBLLE_01311	CDS	4461	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
IDDCBLLE_01312	CDS	930				hypothetical protein
IDDCBLLE_01313	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
IDDCBLLE_01314	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
IDDCBLLE_01315	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
IDDCBLLE_01316	CDS	633	yrbL			putative protein YrbL
IDDCBLLE_01317	CDS	105				hypothetical protein
IDDCBLLE_01318	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
IDDCBLLE_01319	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
IDDCBLLE_01320	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
IDDCBLLE_01321	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
IDDCBLLE_01322	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
IDDCBLLE_01323	CDS	726	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IDDCBLLE_01324	CDS	555	lptA		COG1934	Lipopolysaccharide export system protein LptA
IDDCBLLE_01325	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
IDDCBLLE_01326	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
IDDCBLLE_01327	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
IDDCBLLE_01328	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
IDDCBLLE_01329	CDS	813	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
IDDCBLLE_01330	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
IDDCBLLE_01331	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
IDDCBLLE_01332	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
IDDCBLLE_01333	CDS	297	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
IDDCBLLE_01334	CDS	294	ibaG		COG5007	Acid stress protein IbaG
IDDCBLLE_01335	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
IDDCBLLE_01336	CDS	288				hypothetical protein
IDDCBLLE_01337	CDS	1113	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
IDDCBLLE_01338	CDS	312	rplU		COG0261	50S ribosomal protein L21
IDDCBLLE_01339	CDS	258	rpmA		COG0211	50S ribosomal protein L27
IDDCBLLE_01340	CDS	891	yhbE		COG0697	putative inner membrane transporter YhbE
IDDCBLLE_01341	CDS	1173	obg	3.6.5.-	COG0536	GTPase Obg
IDDCBLLE_01342	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
IDDCBLLE_01343	CDS	102				hypothetical protein
IDDCBLLE_01344	CDS	477	greA		COG0782	Transcription elongation factor GreA
IDDCBLLE_01345	CDS	333	yhbY		COG1534	RNA-binding protein YhbY
IDDCBLLE_01346	CDS	627	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
IDDCBLLE_01347	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
IDDCBLLE_01348	CDS	849	folP	2.5.1.15	COG0294	Dihydropteroate synthase
IDDCBLLE_01349	CDS	1338	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
IDDCBLLE_01350	CDS	333	secG		COG1314	Protein-export membrane protein SecG
IDDCBLLE_01351	tRNA	87				tRNA-Leu(gag)
IDDCBLLE_01352	CDS	960				hypothetical protein
IDDCBLLE_01353	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
IDDCBLLE_01354	tRNA	77				tRNA-Met(cat)
IDDCBLLE_01355	CDS	453	rimP		COG0779	Ribosome maturation factor RimP
IDDCBLLE_01356	CDS	1503	nusA		COG0195	Transcription termination/antitermination protein NusA
IDDCBLLE_01357	CDS	2679	infB		COG0532	Translation initiation factor IF-2
IDDCBLLE_01358	CDS	402	rbfA		COG0858	30S ribosome-binding factor
IDDCBLLE_01359	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
IDDCBLLE_01360	CDS	270	rpsO		COG0184	30S ribosomal protein S15
IDDCBLLE_01361	CDS	2166	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
IDDCBLLE_01362	CDS	885	nlpI		COG4785	Lipoprotein NlpI
IDDCBLLE_01363	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
IDDCBLLE_01364	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
IDDCBLLE_01365	CDS	531				hypothetical protein
IDDCBLLE_01366	CDS	720				hypothetical protein
IDDCBLLE_01367	CDS	1008				hypothetical protein
IDDCBLLE_01368	CDS	879				hypothetical protein
IDDCBLLE_01369	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
IDDCBLLE_01370	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
IDDCBLLE_01371	CDS	504				hypothetical protein
IDDCBLLE_01372	CDS	318				hypothetical protein
IDDCBLLE_01373	CDS	444				hypothetical protein
IDDCBLLE_01374	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
IDDCBLLE_01375	CDS	636				hypothetical protein
IDDCBLLE_01376	CDS	576	osmY_2		COG2823	Osmotically-inducible protein Y
IDDCBLLE_01377	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
IDDCBLLE_01378	CDS	396				hypothetical protein
IDDCBLLE_01379	CDS	2043	lpoA		COG3107	Penicillin-binding protein activator LpoA
IDDCBLLE_01380	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
IDDCBLLE_01381	CDS	774	srlR_3		COG1349	Glucitol operon repressor
IDDCBLLE_01382	CDS	1044	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
IDDCBLLE_01383	CDS	1374	gatC_2		COG3775	PTS system galactitol-specific EIIC component
IDDCBLLE_01384	CDS	285	gatB_2	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
IDDCBLLE_01385	CDS	465	gatA		COG1762	PTS system galactitol-specific EIIA component
IDDCBLLE_01386	CDS	1272	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
IDDCBLLE_01387	CDS	855	gatY	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit GatY
IDDCBLLE_01388	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
IDDCBLLE_01389	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
IDDCBLLE_01390	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
IDDCBLLE_01391	CDS	1146	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
IDDCBLLE_01392	CDS	939	tsaR			HTH-type transcriptional regulator TsaR
IDDCBLLE_01393	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
IDDCBLLE_01394	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
IDDCBLLE_01395	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
IDDCBLLE_01396	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
IDDCBLLE_01397	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
IDDCBLLE_01398	CDS	177	dlsT_1		COG0814	Serine transporter
IDDCBLLE_01399	CDS	1146	dlsT_2		COG0814	putative serine transporter
IDDCBLLE_01400	CDS	1311				hypothetical protein
IDDCBLLE_01401	CDS	165				hypothetical protein
IDDCBLLE_01402	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
IDDCBLLE_01403	CDS	897	yhaJ_2			HTH-type transcriptional regulator YhaJ
IDDCBLLE_01404	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
IDDCBLLE_01405	CDS	525	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
IDDCBLLE_01406	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
IDDCBLLE_01407	CDS	300				hypothetical protein
IDDCBLLE_01408	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
IDDCBLLE_01409	CDS	306	yqjD		COG4575	putative protein YqjD
IDDCBLLE_01410	CDS	369	yqjC			Protein YqjC
IDDCBLLE_01411	CDS	384	mzrA			Modulator protein MzrA
IDDCBLLE_01412	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
IDDCBLLE_01413	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
IDDCBLLE_01414	CDS	969	alx		COG0861	Putative membrane-bound redox modulator Alx
IDDCBLLE_01415	CDS	999	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
IDDCBLLE_01416	CDS	693				hypothetical protein
IDDCBLLE_01417	CDS	498	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
IDDCBLLE_01418	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
IDDCBLLE_01419	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
IDDCBLLE_01420	CDS	1380	patA	2.6.1.82	COG4992	Putrescine aminotransferase
IDDCBLLE_01421	CDS	1521	aer		COG0840	Aerotaxis receptor
IDDCBLLE_01422	CDS	1569	trg_2		COG0840	Methyl-accepting chemotaxis protein III
IDDCBLLE_01423	CDS	645	yqjI		COG1695	Transcriptional regulator YqjI
IDDCBLLE_01424	CDS	768	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
IDDCBLLE_01425	tRNA	76				tRNA-Met(cat)
IDDCBLLE_01426	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
IDDCBLLE_01427	CDS	1983	rpoD		COG0568	RNA polymerase sigma factor RpoD
IDDCBLLE_01428	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
IDDCBLLE_01429	CDS	216	rpsU		COG0828	30S ribosomal protein S21
IDDCBLLE_01430	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
IDDCBLLE_01431	CDS	612	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
IDDCBLLE_01432	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
IDDCBLLE_01433	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
IDDCBLLE_01434	CDS	1242	cca		COG0617	Multifunctional CCA protein
IDDCBLLE_01435	CDS	615				hypothetical protein
IDDCBLLE_01436	CDS	1302	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
IDDCBLLE_01437	CDS	2844	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
IDDCBLLE_01438	CDS	1434	hldE		COG2870	Bifunctional protein HldE
IDDCBLLE_01439	CDS	1680	yqiK		COG2268	Inner membrane protein YqiK
IDDCBLLE_01440	CDS	621	yqiJ			Inner membrane protein YqiJ
IDDCBLLE_01441	CDS	204	glgS			Surface composition regulator
IDDCBLLE_01442	CDS	297	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
IDDCBLLE_01443	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
IDDCBLLE_01444	CDS	678	dsbI		COG1495	Protein-disulfide oxidoreductase DsbI
IDDCBLLE_01445	CDS	672	dsbL		COG0526	Thiol:disulfide interchange protein DsbL
IDDCBLLE_01446	CDS	1797	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
IDDCBLLE_01447	CDS	177	yqiD			Protein YqiD
IDDCBLLE_01448	CDS	774	zupT		COG0428	Zinc transporter ZupT
IDDCBLLE_01449	CDS	789	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
IDDCBLLE_01450	CDS	1164	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
IDDCBLLE_01451	CDS	672				hypothetical protein
IDDCBLLE_01452	CDS	1470	tolC_1			Outer membrane protein TolC
IDDCBLLE_01453	CDS	633	nudF	3.6.1.13		ADP-ribose pyrophosphatase
IDDCBLLE_01454	CDS	423				hypothetical protein
IDDCBLLE_01455	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IDDCBLLE_01456	CDS	582				hypothetical protein
IDDCBLLE_01457	CDS	1893	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
IDDCBLLE_01458	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
IDDCBLLE_01459	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
IDDCBLLE_01460	CDS	1350	qseC_1	2.7.13.3		Sensor protein QseC
IDDCBLLE_01461	CDS	660	qseB			Transcriptional regulatory protein QseB
IDDCBLLE_01462	CDS	393	ygiW_2		COG3111	Protein YgiW
IDDCBLLE_01463	CDS	867	rhaS_3			HTH-type transcriptional activator RhaS
IDDCBLLE_01464	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
IDDCBLLE_01465	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
IDDCBLLE_01466	CDS	1413	ftsP		COG2132	Cell division protein FtsP
IDDCBLLE_01467	CDS	1308	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
IDDCBLLE_01468	CDS	483				hypothetical protein
IDDCBLLE_01469	CDS	984			COG1638	Solute-binding protein
IDDCBLLE_01470	CDS	2172				hypothetical protein
IDDCBLLE_01471	CDS	195				hypothetical protein
IDDCBLLE_01472	CDS	456				hypothetical protein
IDDCBLLE_01473	CDS	1455	yflS		COG0471	Putative malate transporter YflS
IDDCBLLE_01474	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
IDDCBLLE_01475	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
IDDCBLLE_01476	CDS	918	rhaS_4			HTH-type transcriptional activator RhaS
IDDCBLLE_01477	CDS	660	yghB		COG0586	Inner membrane protein YghB
IDDCBLLE_01478	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
IDDCBLLE_01479	CDS	138				hypothetical protein
IDDCBLLE_01480	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
IDDCBLLE_01481	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
IDDCBLLE_01482	CDS	885	yghA	1.-.-.-		putative oxidoreductase YghA
IDDCBLLE_01483	CDS	405				hypothetical protein
IDDCBLLE_01484	CDS	411				hypothetical protein
IDDCBLLE_01485	CDS	504				hypothetical protein
IDDCBLLE_01486	CDS	495				hypothetical protein
IDDCBLLE_01487	CDS	1644				hypothetical protein
IDDCBLLE_01488	CDS	288				hypothetical protein
IDDCBLLE_01489	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
IDDCBLLE_01490	CDS	987	fdnH_2		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
IDDCBLLE_01491	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
IDDCBLLE_01492	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
IDDCBLLE_01493	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
IDDCBLLE_01494	CDS	489	hybE			Hydrogenase-2 operon protein HybE
IDDCBLLE_01495	CDS	342	hybF_2		COG0375	Hydrogenase maturation factor HybF
IDDCBLLE_01496	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
IDDCBLLE_01497	CDS	768			COG0614	putative protein
IDDCBLLE_01498	CDS	141			COG0614	putative protein
IDDCBLLE_01499	CDS	702				hypothetical protein
IDDCBLLE_01500	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
IDDCBLLE_01501	CDS	1857	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
IDDCBLLE_01502	CDS	1059				hypothetical protein
IDDCBLLE_01503	CDS	1413	uxaC	5.3.1.12	COG1904	Uronate isomerase
IDDCBLLE_01504	CDS	1473	por_2	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
IDDCBLLE_01505	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
IDDCBLLE_01506	CDS	1305	exuT_2			Hexuronate transporter
IDDCBLLE_01507	CDS	879				hypothetical protein
IDDCBLLE_01508	CDS	924	pgdA	3.5.1.-		Peptidoglycan deacetylase
IDDCBLLE_01509	CDS	486	hcp1_1		COG3157	Protein hcp1
IDDCBLLE_01510	CDS	381	iraD			Anti-adapter protein IraD
IDDCBLLE_01511	CDS	1485	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
IDDCBLLE_01512	CDS	1302	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
IDDCBLLE_01513	CDS	375				hypothetical protein
IDDCBLLE_01514	CDS	1500	steT		COG0531	Serine/threonine exchanger SteT
IDDCBLLE_01515	CDS	558				hypothetical protein
IDDCBLLE_01516	CDS	684	malT_2			HTH-type transcriptional regulator MalT
IDDCBLLE_01517	CDS	1185	atsB	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
IDDCBLLE_01518	CDS	1740	atsA	3.1.6.1	COG3119	Arylsulfatase
IDDCBLLE_01519	CDS	879	hcaR_1			Hca operon transcriptional activator HcaR
IDDCBLLE_01520	CDS	843	mcl1	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
IDDCBLLE_01521	CDS	528	mch	4.2.1.148	COG2030	Mesaconyl-CoA hydratase
IDDCBLLE_01522	CDS	1323		2.8.3.-	COG0427	Butyryl-CoA:acetate CoA-transferase
IDDCBLLE_01523	CDS	381			COG0346	Virulence protein
IDDCBLLE_01524	tRNA	76				tRNA-Phe(gaa)
IDDCBLLE_01525	CDS	708				hypothetical protein
IDDCBLLE_01526	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
IDDCBLLE_01527	CDS	1257	nupG			Nucleoside permease NupG
IDDCBLLE_01528	CDS	1086	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
IDDCBLLE_01529	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
IDDCBLLE_01530	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
IDDCBLLE_01531	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
IDDCBLLE_01532	CDS	327			COG3171	putative protein
IDDCBLLE_01533	CDS	720				hypothetical protein
IDDCBLLE_01534	CDS	1047	ansB_2	3.5.1.1	COG0252	L-asparaginase 2
IDDCBLLE_01535	CDS	1008				hypothetical protein
IDDCBLLE_01536	CDS	1137	hemW		COG0635	Heme chaperone HemW
IDDCBLLE_01537	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
IDDCBLLE_01538	CDS	291				hypothetical protein
IDDCBLLE_01539	CDS	567				hypothetical protein
IDDCBLLE_01540	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
IDDCBLLE_01541	CDS	981	yggR		COG2805	putative protein YggR
IDDCBLLE_01542	CDS	687				hypothetical protein
IDDCBLLE_01543	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
IDDCBLLE_01544	CDS	564				hypothetical protein
IDDCBLLE_01545	CDS	948	gshB	6.3.2.3	COG0189	Glutathione synthetase
IDDCBLLE_01546	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
IDDCBLLE_01547	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
IDDCBLLE_01548	CDS	456	sprT			Protein SprT
IDDCBLLE_01549	CDS	1395	galP			Galactose-proton symporter
IDDCBLLE_01550	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
IDDCBLLE_01551	CDS	300				hypothetical protein
IDDCBLLE_01552	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
IDDCBLLE_01553	CDS	732				hypothetical protein
IDDCBLLE_01554	CDS	750	pdhR_2		COG2186	Pyruvate dehydrogenase complex repressor
IDDCBLLE_01555	CDS	1473	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
IDDCBLLE_01556	CDS	1017	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
IDDCBLLE_01557	CDS	903	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
IDDCBLLE_01558	CDS	495	tabA_1		COG2731	Toxin-antitoxin biofilm protein TabA
IDDCBLLE_01559	CDS	891	cpo	1.11.1.10		Non-heme chloroperoxidase
IDDCBLLE_01560	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
IDDCBLLE_01561	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
IDDCBLLE_01562	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
IDDCBLLE_01563	CDS	657	larO	3.6.3.-	COG1122	Nickel import ATP-binding protein LarO
IDDCBLLE_01564	CDS	678	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
IDDCBLLE_01565	CDS	708				hypothetical protein
IDDCBLLE_01566	CDS	579				hypothetical protein
IDDCBLLE_01567	CDS	426				hypothetical protein
IDDCBLLE_01568	CDS	1047	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
IDDCBLLE_01569	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
IDDCBLLE_01570	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
IDDCBLLE_01571	CDS	861	mscS_1		COG0668	Small-conductance mechanosensitive channel
IDDCBLLE_01572	CDS	354	argO_1		COG1279	Arginine exporter protein ArgO
IDDCBLLE_01573	CDS	294	argO_2		COG1279	Arginine exporter protein ArgO
IDDCBLLE_01574	CDS	747			COG2968	26 kDa periplasmic immunogenic protein
IDDCBLLE_01575	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
IDDCBLLE_01576	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
IDDCBLLE_01577	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
IDDCBLLE_01578	CDS	549	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
IDDCBLLE_01579	CDS	330	zapA		COG3027	Cell division protein ZapA
IDDCBLLE_01580	CDS	579				hypothetical protein
IDDCBLLE_01581	CDS	1317	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
IDDCBLLE_01582	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
IDDCBLLE_01583	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
IDDCBLLE_01584	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
IDDCBLLE_01585	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
IDDCBLLE_01586	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
IDDCBLLE_01587	CDS	894				hypothetical protein
IDDCBLLE_01588	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
IDDCBLLE_01589	CDS	315				hypothetical protein
IDDCBLLE_01590	CDS	660				hypothetical protein
IDDCBLLE_01591	CDS	192				hypothetical protein
IDDCBLLE_01592	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
IDDCBLLE_01593	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
IDDCBLLE_01594	CDS	414	ygfX			Inner membrane protein YgfX
IDDCBLLE_01595	CDS	522	fldB		COG0716	Flavodoxin 2
IDDCBLLE_01596	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
IDDCBLLE_01597	CDS	714	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
IDDCBLLE_01598	CDS	1602	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
IDDCBLLE_01599	CDS	882	prfB_1		COG1186	Peptide chain release factor RF2
IDDCBLLE_01600	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
IDDCBLLE_01601	CDS	546	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
IDDCBLLE_01602	CDS	759	nlpD_1			Murein hydrolase activator NlpD
IDDCBLLE_01603	tRNA	74				tRNA-Gly(ccc)
IDDCBLLE_01604	CDS	801				hypothetical protein
IDDCBLLE_01605	CDS	261				hypothetical protein
IDDCBLLE_01606	CDS	228	vapB		COG4456	Antitoxin VapB
IDDCBLLE_01607	CDS	399	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
IDDCBLLE_01608	CDS	366				hypothetical protein
IDDCBLLE_01609	CDS	537	ail_2		COG3637	Attachment invasion locus protein
IDDCBLLE_01610	CDS	633				hypothetical protein
IDDCBLLE_01611	CDS	582	ybgD			putative fimbrial-like protein YbgD
IDDCBLLE_01612	CDS	2490	papC_1		COG3188	Outer membrane usher protein PapC
IDDCBLLE_01613	CDS	744	papD		COG3121	Chaperone protein PapD
IDDCBLLE_01614	CDS	1077				hypothetical protein
IDDCBLLE_01615	CDS	513				hypothetical protein
IDDCBLLE_01616	CDS	759				hypothetical protein
IDDCBLLE_01617	CDS	318	rcnA		COG2215	Nickel/cobalt efflux system RcnA
IDDCBLLE_01618	CDS	369	ddrA_2			Diol dehydratase-reactivating factor alpha subunit
IDDCBLLE_01619	CDS	129				hypothetical protein
IDDCBLLE_01620	CDS	300				hypothetical protein
IDDCBLLE_01621	CDS	1233	ynfM_2			Inner membrane transport protein YnfM
